Symbol,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,PnL,ExitReason,VolumeRatio,ValueTraded,ConsolidationRatio,IsBreakingSR
ADANIPORTS,2025-07-31 10:00:00,2025-07-31 10:49:00,Short,1384.4,1388.036127335368,523.6023362929882,SL,20.94,7.09,0.0046,True
APOLLOHOSP,2025-08-06 10:03:00,2025-08-06 10:54:00,Short,7252.0,7280.933927744636,781.2160491051691,PARTIAL_EXIT_2,12.22,7.64,0.0023,True
APOLLOHOSP,2025-08-13 10:29:00,2025-08-13 10:36:00,Long,7709.0,7692.96830962252,-400.79225943700294,SL,5.45,22.54,0.0059,True
ASIANPAINT,2025-07-31 10:30:00,2025-07-31 11:01:00,Short,2403.0,2402.2,-66.4000000000151,TIME_STOP,19.22,17.92,0.0042,True
BAJFINANCE,2025-08-06 10:06:00,2025-08-06 10:37:00,Short,884.2,887.95,847.5,TIME_STOP,7.46,9.35,0.0098,True
BHARTIARTL,2025-08-11 10:46:00,2025-08-11 10:47:00,Short,1857.0,1854.1011936860098,-310.17227559695516,SL,11.95,67.92,0.0048,True
BLS,2025-07-30 10:34:00,2025-07-30 10:54:00,Long,370.8,374.99731181164515,2262.3510664767273,PARTIAL_EXIT_2,62.35,10.48,0.008,True
BLS,2025-07-30 10:35:00,2025-07-30 10:54:00,Long,370.9,374.9687733718788,2193.0688474426706,PARTIAL_EXIT_2,47.96,10.06,0.0077,True
BRITANNIA,2025-08-06 10:36:00,2025-08-06 11:02:00,Short,5512.5,5550.5686859585,1370.4726945060102,PARTIAL_EXIT_2,13.92,15.46,0.0061,True
BSE,2025-08-05 10:53:00,2025-08-05 10:56:00,Short,2445.2,2490.785061762786,3692.3900027856644,PARTIAL_EXIT_2,12.93,35.24,0.0142,True
BSE,2025-08-11 10:13:00,2025-08-11 10:18:00,Short,2384.0,2376.016795794316,-662.6059490717853,SL,7.18,23.5,0.0093,True
CHOLAFIN,2025-07-31 10:58:00,2025-07-31 11:29:00,Long,1454.7,1456.7,274.0,TIME_STOP,23.39,18.74,0.0042,True
COALINDIA,2025-08-01 10:17:00,2025-08-01 10:48:00,Short,375.55,375.95000000000005,212.80000000001814,TIME_STOP,5.0,7.33,0.0088,True
COALINDIA,2025-08-12 10:15:00,2025-08-12 10:21:00,Short,383.05,382.4438616142323,-316.404237370758,SL,14.38,8.36,0.004,True
CUMMINSIND,2025-08-13 10:50:00,2025-08-13 10:52:00,Short,3802.7,3795.7901788857703,-359.3106979399363,SL,10.88,8.4,0.0049,True
CUMMINSIND,2025-08-13 10:53:00,2025-08-13 10:59:00,Short,3808.9,3801.727012759489,-372.99533650658486,SL,11.89,10.18,0.0044,True
DALBHARAT,2025-08-12 10:23:00,2025-08-12 10:55:00,Long,2250.0,2253.4015021365667,299.33218801787007,SL,58.67,25.2,0.0033,True
DATAPATTNS,2025-08-11 10:08:00,2025-08-11 10:23:00,Long,2433.2,2481.584045803683,3967.491755902003,PARTIAL_EXIT_2,36.8,22.74,0.0081,True
ETERNAL,2025-08-04 10:00:00,2025-08-04 10:07:00,Short,304.6,303.86839561279146,-479.93247800881727,SL,5.69,10.77,0.0077,True
ETERNAL,2025-08-14 10:14:00,2025-08-14 10:17:00,Long,314.6,313.6855243112931,-580.6920623289091,SL,10.15,32.39,0.0125,True
FIRSTCRY,2025-08-12 10:48:00,2025-08-12 10:51:00,Long,375.15,374.2334995841076,-488.4947216706268,SL,69.73,9.47,0.0096,True
GLAND,2025-08-06 10:51:00,2025-08-06 10:57:00,Long,1998.8,1990.3392342034447,-846.0765796555279,SL,18.84,20.14,0.0094,True
GLENMARK,2025-07-28 10:29:00,2025-07-28 10:33:00,Long,2151.4,2146.2091661052164,-477.55671832010376,SL,26.02,14.31,0.0052,True
GLENMARK,2025-08-06 10:56:00,2025-08-06 11:26:00,Long,2009.5,2012.6784015236897,314.6617508452664,SL,53.21,33.66,0.0032,True
GLENMARK,2025-08-14 10:14:00,2025-08-14 10:45:00,Short,2029.2,2031.3000000000002,205.80000000001337,TIME_STOP,21.48,7.87,0.0076,True
GODIGIT,2025-07-23 10:48:00,2025-07-23 11:39:00,Long,356.05,357.82677318552385,996.7697570788781,SL,148.05,9.15,0.008,True
GODREJCP,2025-08-04 10:30:00,2025-08-04 10:38:00,Short,1233.0,1229.20923870029,-614.1033305530336,SL,19.97,8.25,0.0105,True
GODREJCP,2025-08-06 10:28:00,2025-08-06 10:29:00,Long,1211.1,1208.7131828760698,-393.82482544846425,SL,17.99,12.6,0.0046,True
HAL,2025-07-29 10:14:00,2025-07-29 11:16:00,Short,4445.8,4466.749380185967,921.7727281825537,SL,6.77,7.56,0.0105,True
HAL,2025-08-12 10:52:00,2025-08-12 11:23:00,Short,4338.0,4342.2,193.19999999999163,TIME_STOP,5.09,13.42,0.0049,True
HBLENGINE,2025-08-11 10:20:00,2025-08-11 10:51:00,Long,678.95,682.05,911.3999999999733,TIME_STOP,6.43,27.65,0.0178,True
HCLTECH,2025-07-29 10:09:00,2025-07-29 10:10:00,Long,1477.4,1474.9614666098696,-329.2020076676158,SL,13.88,30.9,0.0044,True
HDFCAMC,2025-08-06 10:06:00,2025-08-06 10:35:00,Long,5691.5,5678.434998694869,-457.2750456795802,SL,20.97,15.38,0.0049,True
HINDUNILVR,2025-08-14 10:48:00,2025-08-14 11:00:00,Short,2501.0,2498.607655032755,-188.99525241237143,SL,34.91,29.45,0.0022,True
ICICIBANK,2025-07-29 10:56:00,2025-07-29 11:27:00,Long,1483.3,1482.3,-134.0,TIME_STOP,8.55,36.35,0.0022,True
IEX,2025-08-07 10:20:00,2025-08-07 10:51:00,Short,131.33,131.56000000000003,350.0600000000277,TIME_STOP,13.56,8.26,0.007,True
INDIANB,2025-08-06 10:56:00,2025-08-06 11:02:00,Short,629.0,627.6992693843995,-412.331605145363,SL,72.97,21.22,0.0044,True
INDIANB,2025-08-08 10:21:00,2025-08-08 10:39:00,Long,649.5,648.494227893577,-308.77203667186825,SL,37.44,19.74,0.0052,True
INDUSINDBK,2025-07-29 10:26:00,2025-07-29 10:57:00,Short,801.5,800.55,-236.55000000001132,TIME_STOP,8.72,19.4,0.0114,True
INDUSINDBK,2025-07-29 10:27:00,2025-07-29 10:36:00,Short,799.45,796.26550958637,-796.1226034075253,SL,9.6,22.35,0.0142,True
INFY,2025-07-30 10:27:00,2025-07-30 10:28:00,Long,1512.0,1510.7000820698265,-171.58916678289916,SL,7.66,26.39,0.0013,True
ITC,2025-07-31 10:08:00,2025-07-31 10:10:00,Short,407.35,406.86872581623015,-235.82435004723607,SL,60.52,103.25,0.0036,True
ITC,2025-08-07 10:36:00,2025-08-07 11:40:00,Short,413.85,414.7201173871788,420.2666980073495,SL,7.67,10.09,0.0025,True
ITC,2025-08-07 10:40:00,2025-08-07 11:40:00,Short,413.5,414.2671953166182,370.555337926596,SL,8.74,11.99,0.0033,True
ITC,2025-08-07 10:45:00,2025-08-07 11:40:00,Short,413.55,414.32143928531235,372.60517480585384,SL,13.98,18.19,0.0027,True
ITC,2025-08-11 11:00:00,2025-08-11 11:09:00,Short,415.65,415.2238898631754,-204.95897581263478,SL,5.46,7.28,0.0019,True
ITC,2025-08-13 10:24:00,2025-08-13 10:28:00,Short,415.7,415.37869240828013,-154.5489516172517,SL,9.91,12.09,0.002,True
ITC,2025-08-13 10:33:00,2025-08-13 12:32:00,Short,415.75,416.6364508831544,426.3828747972728,SL,7.63,9.68,0.0023,True
ITC,2025-08-13 10:56:00,2025-08-13 12:32:00,Short,415.0,415.5673976102874,272.91825054824386,SL,5.97,9.35,0.0033,True
JINDALSTEL,2025-07-28 10:32:00,2025-07-28 10:47:00,Long,989.55,987.2050521953369,-473.6794565419448,SL,20.21,10.13,0.0045,True
JSWENERGY,2025-08-05 10:55:00,2025-08-05 11:09:00,Short,544.2,548.9737799722058,1751.9772497995184,PARTIAL_EXIT_2,9.51,17.62,0.0042,True
KAJARIACER,2025-07-29 10:13:00,2025-07-29 10:20:00,Short,1169.0,1165.1781586868535,-653.5348645480478,SL,154.27,87.58,0.0126,True
KALYANKJIL,2025-07-29 10:04:00,2025-07-29 10:16:00,Long,604.5,601.9368049626491,-845.854362325781,SL,8.92,7.68,0.0085,True
KAYNES,2025-08-13 10:45:00,2025-08-13 11:01:00,Long,6003.5,5979.505578988205,-791.8158933892237,SL,9.08,7.93,0.0107,True
KOTAKBANK,2025-08-13 10:46:00,2025-08-13 10:48:00,Short,1973.3,1971.1768493737472,-214.43821325152362,SL,7.92,9.08,0.0032,True
KOTAKBANK,2025-08-13 10:49:00,2025-08-13 10:53:00,Short,1975.7,1973.391048860832,-233.20406505598112,SL,7.16,9.2,0.0033,True
LAURUSLABS,2025-08-14 10:04:00,2025-08-14 10:56:00,Long,874.35,876.752993173299,547.8824435121903,SL,15.87,13.27,0.0056,True
LT,2025-08-13 10:51:00,2025-08-13 10:56:00,Long,3709.4,3705.795769184877,-191.0242332015282,SL,6.1,10.52,0.0032,True
LUPIN,2025-08-01 10:13:00,2025-08-01 10:31:00,Long,1887.6,1882.500618845684,-535.4350212031807,SL,18.34,14.27,0.0045,True
LUPIN,2025-08-08 10:29:00,2025-08-08 10:37:00,Short,1930.5,1926.4462064285888,-417.54073785535707,SL,5.51,9.01,0.0043,True
M&M,2025-08-07 10:47:00,2025-08-07 11:20:00,Short,3196.0,3201.6898211572293,352.76891174821594,SL,5.52,15.16,0.0041,True
MANYAVAR,2025-08-11 10:48:00,2025-08-11 11:15:00,Long,741.55,743.1308015255502,425.2356103729944,SL,181.43,29.69,0.0068,True
NAUKRI,2025-07-28 10:29:00,2025-07-28 10:31:00,Short,1426.2,1423.085176856264,-436.07524012303656,SL,25.39,13.55,0.0046,True
NAUKRI,2025-08-04 10:09:00,2025-08-04 10:40:00,Long,1366.2,1367.4,175.20000000000664,TIME_STOP,69.81,20.83,0.0037,True
NEWGEN,2025-08-14 10:30:00,2025-08-14 10:40:00,Long,926.4,920.3428089448083,-1302.296076866205,SL,9.92,15.7,0.018,True
NIACL,2025-08-05 10:24:00,2025-08-05 10:27:00,Long,204.04,202.66827659047144,-1344.288941337985,SL,11.68,16.26,0.019,True
NMDC,2025-08-13 10:15:00,2025-08-13 10:26:00,Long,72.3,72.06064284882332,-662.0618801546873,SL,17.65,11.52,0.0064,True
ONGC,2025-07-31 10:26:00,2025-07-31 10:28:00,Long,241.06,240.6563746342357,-334.60542821860366,SL,15.61,8.55,0.0058,True
ONGC,2025-08-06 10:47:00,2025-08-06 11:06:00,Long,234.46,234.13259826624875,-279.2736788898238,SL,10.62,7.17,0.0038,True
PREMIERENE,2025-08-06 10:58:00,2025-08-06 11:29:00,Long,1002.8,1004.3,298.5,TIME_STOP,22.23,7.23,0.0098,True
RBLBANK,2025-08-08 10:28:00,2025-08-08 10:30:00,Short,267.55,266.76150261060184,-589.0075498804358,SL,6.55,8.03,0.0041,True
SAIL,2025-07-29 10:42:00,2025-07-29 11:35:00,Short,125.5,125.9646959393953,740.260631456702,SL,12.13,12.86,0.0041,True
SONACOMS,2025-07-31 10:00:00,2025-07-31 10:31:00,Short,451.8,454.05,994.5,TIME_STOP,25.55,14.77,0.0109,True
SUNPHARMA,2025-07-29 10:37:00,2025-07-29 10:39:00,Short,1705.3,1702.7146452861405,-302.48650152156006,SL,8.28,10.04,0.0028,True
SUZLON,2025-08-12 10:48:00,2025-08-12 10:50:00,Long,64.82,64.46420007139999,-1097.6427797310212,SL,8.49,15.51,0.018,True
TATAMOTORS,2025-08-07 10:09:00,2025-08-07 11:40:00,Short,641.15,644.6108375289879,1076.3204715152192,SL,5.18,9.01,0.0063,True
TATAPOWER,2025-08-06 11:00:00,2025-08-06 11:01:00,Long,385.8,384.7242527591495,-557.2370707605536,SL,9.41,7.18,0.0098,True
TATAPOWER,2025-08-13 10:58:00,2025-08-13 11:29:00,Long,386.4,387.15,387.75,TIME_STOP,21.14,7.88,0.004,True
TECHM,2025-08-05 10:05:00,2025-08-05 10:06:00,Long,1475.1,1472.632716632112,-333.0832546648571,SL,20.01,19.63,0.0043,True
TORNTPHARM,2025-07-29 10:03:00,2025-07-29 10:34:00,Long,3729.3,3742.5,699.5999999999904,TIME_STOP,8.43,9.39,0.0111,True
TORNTPHARM,2025-07-29 10:04:00,2025-07-29 10:35:00,Long,3737.5,3742.2,249.09999999999036,TIME_STOP,6.37,7.33,0.0116,True
TORNTPHARM,2025-08-01 10:47:00,2025-08-01 11:21:00,Short,3687.1,3714.5824981390792,1484.0548995102836,PARTIAL_EXIT_2,17.5,8.16,0.0049,True
ULTRACEMCO,2025-08-01 10:17:00,2025-08-01 10:39:00,Long,12219.0,12232.527610125691,216.44176201106166,SL,19.03,13.84,0.0014,True
VIJAYA,2025-08-01 10:19:00,2025-08-01 10:20:00,Short,1079.3,1073.5346141413706,-1066.5963838464234,SL,60.46,9.54,0.0117,True
WHIRLPOOL,2025-07-30 10:04:00,2025-07-30 10:06:00,Short,1378.0,1374.6657319957924,-483.46886061010423,SL,61.32,8.21,0.0079,True
ZENTEC,2025-08-01 10:26:00,2025-08-01 10:57:00,Long,1531.5,1537.3,753.9999999999941,TIME_STOP,23.99,14.02,0.0138,True
